Loop Step: 0.0310 | Loop Time: 4.60 | Pressure: 0.10 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.63 | Pressure: 0.15 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.66 | Pressure: 0.11 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.69 | Pressure: 0.18 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 4.72 | Pressure: 0.15 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.75 | Pressure: 0.06 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.78 | Pressure: 0.07 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.82 | Pressure: 0.11 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.85 | Pressure: 0.08 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.88 | Pressure: 0.09 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.91 | Pressure: 0.08 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.94 | Pressure: 0.03 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.97 | Pressure: 0.05 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.00 | Pressure: 0.17 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.03 | Pressure: 0.09 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.06 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.09 | Pressure: 0.40 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.12 | Pressure: 0.40 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.16 | Pressure: 0.73 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.19 | Pressure: 0.51 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.22 | Pressure: 0.55 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.25 | Pressure: 0.54 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.28 | Pressure: 0.63 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.31 | Pressure: 0.70 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.34 | Pressure: 0.70 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.37 | Pressure: 0.72 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.40 | Pressure: 0.73 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.43 | Pressure: 0.76 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.47 | Pressure: -1.82 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.50 | Pressure: 0.72 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 5.53 | Pressure: 0.78 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.56 | Pressure: 0.86 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.59 | Pressure: 0.74 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.62 | Pressure: 0.73 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.65 | Pressure: 0.72 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.68 | Pressure: 0.67 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.71 | Pressure: 0.69 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.75 | Pressure: 0.74 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.78 | Pressure: -1.23 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.81 | Pressure: 0.66 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 5.84 | Pressure: 0.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.87 | Pressure: 0.79 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.90 | Pressure: 0.75 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.93 | Pressure: 0.81 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.96 | Pressure: 0.74 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.00 | Pressure: 0.81 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.03 | Pressure: 0.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.06 | Pressure: 0.85 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.09 | Pressure: -0.81 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.12 | Pressure: 0.95 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 6.15 | Pressure: 0.86 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.18 | Pressure: -1.24 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.21 | Pressure: 0.93 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 6.25 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.28 | Pressure: 0.88 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.31 | Pressure: 0.90 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.34 | Pressure: 0.89 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.37 | Pressure: 0.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.40 | Pressure: 0.85 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.43 | Pressure: 0.86 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.46 | Pressure: 0.87 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.49 | Pressure: -0.78 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.52 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 6.56 | Pressure: 0.96 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.59 | Pressure: 0.99 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.62 | Pressure: 1.07 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.65 | Pressure: 1.05 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.68 | Pressure: 1.08 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.71 | Pressure: 1.21 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.74 | Pressure: 1.14 | Solenoid: PRESSURIZE
