Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 69.0930 | Pressure: 1.42719849
Loop Step: 0.0060 | Loop Time: 69.0990 | Pressure: 1.38166626
Loop Step: 0.0060 | Loop Time: 69.1050 | Pressure: 1.43977173
Loop Step: 0.0060 | Loop Time: 69.1110 | Pressure: 1.48768433
Loop Step: 0.0060 | Loop Time: 69.1170 | Pressure: 1.50190552
Loop Step: 0.0060 | Loop Time: 69.1230 | Pressure: 1.49915894
Loop Step: 0.0060 | Loop Time: 69.1290 | Pressure: 1.40894897
Loop Step: 0.0060 | Loop Time: 69.1350 | Pressure: 1.42451294
Loop Step: 0.0060 | Loop Time: 69.1410 | Pressure: 1.40913208
Loop Step: 0.0060 | Loop Time: 69.1470 | Pressure: 0.53846558
Loop Step: 0.0060 | Loop Time: 69.1530 | Pressure: 1.44502075
Loop Step: 0.0060 | Loop Time: 69.1590 | Pressure: 1.43079956
Loop Step: 0.0060 | Loop Time: 69.1650 | Pressure: 1.48512085
Loop Step: 0.0060 | Loop Time: 69.1710 | Pressure: 1.42353638
Loop Step: 0.0060 | Loop Time: 69.1770 | Pressure: 1.44026001
Loop Step: 0.0060 | Loop Time: 69.1830 | Pressure: 1.43360718
Loop Step: 0.0060 | Loop Time: 69.1890 | Pressure: 1.48609741
Loop Step: 0.0060 | Loop Time: 69.1950 | Pressure: 1.44935425
Loop Step: 0.0060 | Loop Time: 69.2010 | Pressure: 1.38270386
Loop Step: 0.0060 | Loop Time: 69.2070 | Pressure: 1.35005005
Loop Step: 0.0060 | Loop Time: 69.2130 | Pressure: 1.39094360
Loop Step: 0.0060 | Loop Time: 69.2190 | Pressure: 1.43122681
Loop Step: 0.0060 | Loop Time: 69.2250 | Pressure: 1.40003784
Loop Step: 0.0060 | Loop Time: 69.2310 | Pressure: 1.39222534
Loop Step: 0.0060 | Loop Time: 69.2370 | Pressure: 1.43269165
Loop Step: 0.0060 | Loop Time: 69.2430 | Pressure: 1.42567261
Loop Step: 0.0060 | Loop Time: 69.2490 | Pressure: 0.36707886
Loop Step: 0.0060 | Loop Time: 69.2550 | Pressure: 1.45734985
Loop Step: 0.0060 | Loop Time: 69.2610 | Pressure: 1.36488159
Loop Step: 0.0060 | Loop Time: 69.2670 | Pressure: 1.40247925
Loop Step: 0.0060 | Loop Time: 69.2730 | Pressure: 1.36536987
Loop Step: 0.0060 | Loop Time: 69.2790 | Pressure: 1.41529663
Loop Step: 0.0060 | Loop Time: 69.2850 | Pressure: 1.41114624
Loop Step: 0.0060 | Loop Time: 69.2910 | Pressure: 1.41920288
Loop Step: 0.0060 | Loop Time: 69.2970 | Pressure: 1.37116821
Loop Step: 0.0060 | Loop Time: 69.3030 | Pressure: 1.37519653
Loop Step: 0.0060 | Loop Time: 69.3090 | Pressure: 1.33674438
Loop Step: 0.0060 | Loop Time: 69.3150 | Pressure: 1.38337524
Loop Step: 0.0060 | Loop Time: 69.3210 | Pressure: 1.39539917
Loop Step: 0.0060 | Loop Time: 69.3270 | Pressure: 1.42402466
Loop Step: 0.0060 | Loop Time: 69.3330 | Pressure: 1.39863403
Loop Step: 0.0060 | Loop Time: 69.3390 | Pressure: 1.38447388
Loop Step: 0.0060 | Loop Time: 69.3450 | Pressure: 1.38398560
Loop Step: 0.0060 | Loop Time: 69.3510 | Pressure: 0.63068970
Loop Step: 0.0060 | Loop Time: 69.3570 | Pressure: 1.10560425
Loop Step: 0.0060 | Loop Time: 69.3630 | Pressure: 1.33503540
Loop Step: 0.0060 | Loop Time: 69.3690 | Pressure: 1.37513550
Loop Step: 0.0060 | Loop Time: 69.3750 | Pressure: 1.37141235
Loop Step: 0.0060 | Loop Time: 69.3810 | Pressure: 1.39930542
Loop Step: 0.0060 | Loop Time: 69.3870 | Pressure: 1.35291870
Loop Step: 0.0060 | Loop Time: 69.3930 | Pressure: 1.36079224
Loop Step: 0.0060 | Loop Time: 69.3990 | Pressure: 1.35291870
Loop Step: 0.0060 | Loop Time: 69.4050 | Pressure: 1.33753784
Loop Step: 0.0060 | Loop Time: 69.4110 | Pressure: 1.28803833
Loop Step: 0.0060 | Loop Time: 69.4170 | Pressure: 1.30396851
Loop Step: 0.0060 | Loop Time: 69.4230 | Pressure: 1.34010132
Loop Step: 0.0060 | Loop Time: 69.4290 | Pressure: 1.42817505
Loop Step: 0.0060 | Loop Time: 69.4350 | Pressure: 1.37293823
Loop Step: 0.0060 | Loop Time: 69.4410 | Pressure: 1.34754761
Loop Step: 0.0060 | Loop Time: 69.4470 | Pressure: 1.36140259
Loop Step: 0.0060 | Loop Time: 69.4530 | Pressure: 0.55744751
