Loop Step: 0.0310 | Loop Time: 4.32 | Pressure: -2.41 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.35 | Pressure: 0.26 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 4.38 | Pressure: 0.18 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.41 | Pressure: 0.31 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 4.44 | Pressure: 0.26 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.47 | Pressure: 0.22 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.51 | Pressure: 0.26 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.54 | Pressure: 0.18 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.57 | Pressure: 0.20 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.60 | Pressure: 0.26 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.63 | Pressure: -1.15 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.66 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 4.69 | Pressure: 0.22 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.72 | Pressure: 0.22 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.75 | Pressure: 0.21 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.79 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.82 | Pressure: 0.21 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.85 | Pressure: 0.31 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.88 | Pressure: 0.19 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.91 | Pressure: 0.23 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.94 | Pressure: 0.20 | Solenoid: PRESSURIZE
