Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.018 | Loop Time: 33.48 | Pressure: 0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.50 | Pressure: 0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.52 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.54 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.56 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.58 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.59 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.61 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.63 | Pressure: 0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.65 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.66 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.68 | Pressure: 0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.70 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.72 | Pressure: 0.00 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.74 | Pressure: 0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.76 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.77 | Pressure: 0.24 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 33.79 | Pressure: 0.04 | Solenoid: RELEASE
