Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.68 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.70 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.71 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.73 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.75 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.77 | Pressure: -0.08 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.79 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.80 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.82 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.84 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.86 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.88 | Pressure: -0.09 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.89 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.91 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.93 | Pressure: -0.08 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.95 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.97 | Pressure: -0.09 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 39.98 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.00 | Pressure: 0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.02 | Pressure: 0.04 | Solenoid: RELEASE
