Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
6704
Loop Step: 0.0060 | Loop Time: 110.3180 | Pressure: 2.98567017
Button 2 click.
Loop Step: 0.0060 | Loop Time: 110.3240 | Pressure: 3.07551392
Calibrating pressure sensor.
Calibrated pressure sensor at 650.5039.
Loop Step: 0.0060 | Loop Time: 110.3300 | Pressure: -0.10264343
Loop Step: 13.2800 | Loop Time: 123.6100 | Pressure: -0.10966248
Loop Step: 0.0060 | Loop Time: 123.6160 | Pressure: -0.03184265
Loop Step: 0.0060 | Loop Time: 123.6220 | Pressure: 0.16762024
Loop Step: 0.0060 | Loop Time: 123.6280 | Pressure: 0.00886780
Loop Step: 0.0060 | Loop Time: 123.6340 | Pressure: 0.04017883
Loop Step: 0.0060 | Loop Time: 123.6400 | Pressure: -0.04984802
Loop Step: 0.0060 | Loop Time: 123.6460 | Pressure: 0.00062805
Loop Step: 0.0060 | Loop Time: 123.6520 | Pressure: -0.00498718
Loop Step: 0.0060 | Loop Time: 123.6580 | Pressure: 0.06636292
Loop Step: 0.0060 | Loop Time: 123.6640 | Pressure: -0.06449646
Loop Step: 0.0060 | Loop Time: 123.6700 | Pressure: 0.03090149
Loop Step: 0.0060 | Loop Time: 123.6760 | Pressure: 0.01704651
Loop Step: 0.0060 | Loop Time: 123.6820 | Pressure: -0.01188416
Loop Step: 0.0060 | Loop Time: 123.6880 | Pressure: -0.01872009
Loop Step: 0.0060 | Loop Time: 123.6940 | Pressure: 0.00422913
Loop Step: 0.0060 | Loop Time: 123.7000 | Pressure: -0.00571960
Loop Step: 0.0060 | Loop Time: 123.7060 | Pressure: 0.05403381
Loop Step: 0.0060 | Loop Time: 123.7120 | Pressure: 0.09205872
Loop Step: 0.0060 | Loop Time: 123.7180 | Pressure: 0.04341370
Loop Step: 0.0060 | Loop Time: 123.7240 | Pressure: 0.06196838
Loop Step: 0.0060 | Loop Time: 123.7300 | Pressure: 0.07576233
Loop Step: 0.0060 | Loop Time: 123.7360 | Pressure: 0.06483704
Loop Step: 0.0060 | Loop Time: 123.7420 | Pressure: 0.07515198
Loop Step: 0.0060 | Loop Time: 123.7480 | Pressure: 0.07820374
Loop Step: 0.0060 | Loop Time: 123.7540 | Pressure: 0.03334290
Loop Step: 0.0060 | Loop Time: 123.7600 | Pressure: -0.00889343
Loop Step: 0.0060 | Loop Time: 123.7660 | Pressure: 0.01021057
Loop Step: 0.0060 | Loop Time: 123.7720 | Pressure: 0.01680237
Loop Step: 0.0060 | Loop Time: 123.7780 | Pressure: 0.03364807
Loop Step: 0.0060 | Loop Time: 123.7840 | Pressure: 0.05684143
Loop Step: 0.0060 | Loop Time: 123.7900 | Pressure: 0.01552063
Loop Step: 0.0060 | Loop Time: 123.7960 | Pressure: -0.00169128
Loop Step: 0.0060 | Loop Time: 123.8020 | Pressure: 0.00233704
Loop Step: 0.0060 | Loop Time: 123.8080 | Pressure: 0.00612122
Loop Step: 0.0060 | Loop Time: 123.8140 | Pressure: 0.05830627
Loop Step: 0.0060 | Loop Time: 123.8200 | Pressure: -0.03471130
Loop Step: 0.0060 | Loop Time: 123.8260 | Pressure: 0.03999573
Loop Step: 0.0060 | Loop Time: 123.8320 | Pressure: 0.03230530
Loop Step: 0.0060 | Loop Time: 123.8380 | Pressure: 0.06410461
Loop Step: 0.0060 | Loop Time: 123.8440 | Pressure: 0.04200989
Loop Step: 0.0060 | Loop Time: 123.8500 | Pressure: 0.04658752
Loop Step: 0.0060 | Loop Time: 123.8560 | Pressure: 0.00996643
Loop Step: 0.0060 | Loop Time: 123.8620 | Pressure: 0.02662903
Loop Step: 0.0060 | Loop Time: 123.8680 | Pressure: 0.05818420
Loop Step: 0.0060 | Loop Time: 123.8740 | Pressure: 0.05061584
Loop Step: 0.0060 | Loop Time: 123.8800 | Pressure: 0.02028137
Loop Step: 0.0060 | Loop Time: 123.8860 | Pressure: 0.04585510
Loop Step: 0.0060 | Loop Time: 123.8920 | Pressure: 0.00898987
Loop Step: 0.0060 | Loop Time: 123.8980 | Pressure: -0.00285095
Loop Step: 0.0060 | Loop Time: 123.9040 | Pressure: 0.00691467
Loop Step: 0.0060 | Loop Time: 123.9100 | Pressure: -0.01603455
Loop Step: 0.0060 | Loop Time: 123.9160 | Pressure: 0.02412659
Loop Step: 0.0060 | Loop Time: 123.9220 | Pressure: -0.00468201
Loop Step: 0.0060 | Loop Time: 123.9280 | Pressure: 0.01112610
Loop Step: 0.0060 | Loop Time: 123.9340 | Pressure: 0.10365540
