Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.2402 | Loop Time: 21.56 | Pressure: 0.00 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.58 | Pressure: 0.04 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.60 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.62 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.64 | Pressure: 0.06 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.66 | Pressure: -1.06 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.67 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.69 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.71 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.73 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.75 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.77 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.79 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.81 | Pressure: 0.04 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.83 | Pressure: -0.00 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.84 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.86 | Pressure: -0.36 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.88 | Pressure: 0.08 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.90 | Pressure: 0.00 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.92 | Pressure: -0.00 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.94 | Pressure: 0.06 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.96 | Pressure: 0.06 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 21.98 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.00 | Pressure: 0.07 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.02 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.04 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.05 | Pressure: 0.08 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.07 | Pressure: 0.02 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.09 | Pressure: 0.05 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.11 | Pressure: 0.08 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.13 | Pressure: 0.09 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.15 | Pressure: 0.09 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.17 | Pressure: -0.92 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.19 | Pressure: 0.09 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.21 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.23 | Pressure: 0.04 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.24 | Pressure: -1.15 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.26 | Pressure: -1.20 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.28 | Pressure: -1.03 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.30 | Pressure: -0.87 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.32 | Pressure: -1.24 | Solenoid: RELEASE
Loop Step: 0.2402 | Loop Time: 22.34 | Pressure: 0.05 | Solenoid: RELEASE
Button 1 click.
Starting pressurize!
Loop Step: 0.2402 | Loop Time: 22.36 | Pressure: 0.04 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.38 | Pressure: 0.04 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.41 | Pressure: 0.93 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.43 | Pressure: 0.95 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.45 | Pressure: 1.22 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.47 | Pressure: 1.48 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.49 | Pressure: 1.70 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.51 | Pressure: 1.76 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.53 | Pressure: 1.84 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.54 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.56 | Pressure: 1.91 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.58 | Pressure: 1.80 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.60 | Pressure: 1.83 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.62 | Pressure: 1.90 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.64 | Pressure: 1.92 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.66 | Pressure: 1.83 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.68 | Pressure: 1.79 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.70 | Pressure: 1.89 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.71 | Pressure: 1.89 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.73 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.75 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.77 | Pressure: 1.88 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.79 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.81 | Pressure: 1.79 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.83 | Pressure: 1.68 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.85 | Pressure: 1.83 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.87 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.89 | Pressure: 1.67 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.91 | Pressure: 1.81 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.92 | Pressure: 1.74 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.94 | Pressure: 1.74 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.96 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.98 | Pressure: 1.65 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.00 | Pressure: 1.57 | Solenoid: PRESSURIZE
